ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
99,,kowaidakenai,ash,ɽĩːpeni,ɽĩːpeni,ɽ ĩː p e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
100,,dzawinai,ash,tidzemheni,tidzemheni,t i dz e mʰ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
101,,tariana,ash,kãdaɾi,kãdaɾi,k ã d a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
102,,aha,ash,limale,limale,l i m a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
103,,ehe,ash,limale,limale,l i m a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
104,,oho,ash,paliapokoa,paliapokoa,p a l i a p o k o a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
105,,name,ash,limale,limale,l i m a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
106,,werekena,ash,paɾitʃi,paɾitʃi,p a ɾ i tʃ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
107,,waliperi,back,nupaʰnɛpɛ,nupaʰnɛpɛ,n u p aʰ n ɛ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
108,,hohoodene,back,ɽitama,ɽitama,ɽ i t a m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
109,,moliwene,back,pitamwa,pitamwa,p i t a m w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
110,,mauliene,back,nuthama,nuthama,n u tʰ a m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
111,,kumadene2,back,noawehete,noawehete,n o a wʰ e t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
112,,tariana,back,nũtʃãmẽ,nũtʃãmẽ,n ũ tʃ ã m ẽ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
113,,aha,back,linʰapi,linʰapi,l i nʰ a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
114,,ehe,back,linʰiapi,linʰiapi,l i nʰ i a p i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
115,,oho,back,linaːphi,linaːphi,l i n aː pʰ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
116,,name,back,litama,litama,l i t a m a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
117,,werekena,back,nunapita,nunapita,n u n a p i t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
118,,hohoodene,bad,maːtʃidɛ,maːtʃidɛ,m aː tʃ i d ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
119,,mauliene,bad,matʃi,matʃi,m a tʃ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
120,,kumadene1,bad,maːʃitɛ,maːʃitɛ,m aː ʃ i t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
121,,tariana,bad,mãːtsitɛ,mãːtsitɛ,m ãː ts i t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
122,,aha,bad,maːtsi,maːtsi,m aː ts i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
123,,ehe,bad,maːtsi,maːtsi,m aː ts i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
124,,oho,bad,maːtsidale,maːtsidale,m aː ts i d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
125,,name,bad,maːtsi,maːtsi,m aː ts i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
126,,werekena,bad,odzudɛnami,odzudɛnami,o dz u d ɛ n a m i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
127,,waliperi,bark,ɽija,ɽija,ɽ i j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
128,,hohoodene,bark,ɽiːja,ɽiːja,ɽ iː j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
129,,moliwene,bark,ɽija,ɽija,ɽ i j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
130,,mauliene,bark,ɽija,ɽija,ɽ i j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
131,,kumadene2,bark,ɽia,ɽia,ɽ i a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
132,,kowaidakenai,bark,ɽja,ɽja,ɽ j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
133,,dzawinai,bark,ɽi.ja,ɽi.ja,ɽ i j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
134,,tariana,bark,ɾija,ɾija,ɾ i j a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
135,,aha,bark,likhi,likhi,l i kʰ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
136,,ehe,bark,liːke,liːke,l iː k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
137,,oho,bark,natakanda,natakanda,n a t a k a n d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
138,,name,bark,pakoːna,pakoːna,p a k oː n a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
139,,werekena,bark,maːta,maːta,m aː t a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
140,,hohoodene,alive,kaːhikɐni,kaːhikɐni,k aː h i k ɐ n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
141,,mauliene,alive,kahikani,kahikani,k a h i k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
142,,kumadene2,alive,kaʐivide,kaʐivide,k a ʐ i v i d e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
143,,kumadene1,alive,tɐɾanipɛ,tɐɾanipɛ,t ɐ ɾ a n i p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
144,,kowaidakenai,alive,matʃjakani,matʃjakani,m a tʃ j a k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
145,,dzawinai,alive,kaaɸikani,kaaɸikani,k aː wʰ i k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
146,,tariana,alive,taɾalitɛ,taɾalitɛ,t a ɾ a l i t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
147,,aha,alive,joːfuakada,joːfuakada,j oː f u a k a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
148,,ehe,alive,joːfaːketi ~ ofa,joːfaːketi ~ ofa,j oː f aː k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
149,,oho,alive,johaketi,johaketi,j o h a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
150,,name,alive,jaːhiketi,jaːhiketi,j aː h i k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
151,,werekena,alive,nɛtoaɾi,nɛtoaɾi,n ɛ t o a ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
152,,kumadene1,born,heajnĩpejtɛ,heajnĩpejtɛ,h e a j n ĩ p e j t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
153,,aha,behind,danʰite,danʰite,d a nʰ i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
154,,ehe,behind,nuapuante (me,nuapuante (me,n u a p u a n t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
155,,oho,behind,litamale,litamale,l i t a m a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
156,,name,behind,noapodanse,noapodanse,n o a p o d a n s e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
157,,waliperi,belly,ɽiwawa,ɽiwawa,ɽ i w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
158,,hohoodene,belly,nuʃada,nuʃada,n u ʃ a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
159,,moliwene,belly,ɽiwawa,ɽiwawa,ɽ i w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
160,,mauliene,belly,nuwawa,nuwawa,n u w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
161,,kumadene2,belly,nuwawa,nuwawa,n u w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
162,,kowaidakenai,belly,nuʃada,nuʃada,n u ʃ a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
163,,dzawinai,belly,ɽiwawa,ɽiwawa,ɽ i w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
164,,tariana,belly,wawawa,wawawa,w a w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
165,,aha,belly,lisrada,lisrada,l i s ɾ a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
166,,ehe,belly,lisrada,lisrada,l i s ɾ a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
167,,oho,belly,lisrada,lisrada,l i s ɾ a d a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
168,,name,belly,liwawa,liwawa,l i w a w a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
169,,werekena,belly,nutʃiapu,nutʃiapu,n u tʃ i a p u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
170,,hohoodene,below,ɽiapʰitɛ,ɽiapʰitɛ,ɽ i a pʰ i t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
171,,mauliene,below,ɽiapisɛ,ɽiapisɛ,ɽ i a p i s ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
172,,kumadene2,below,ɽiaphiːpe,ɽiaphiːpe,ɽ i a pʰ iː p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
173,,kowaidakenai,below,ɽiaphie,ɽiaphie,ɽ i a pʰ i e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
174,,dzawinai,below,ɾiapite,ɾiapite,ɾ i a p i t e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
175,,tariana,below,wapisakumapʰɛˑ,wapisakumapʰɛˑ,w a p i s a k u m a pʰ ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
176,,werekena,below,jatʃipɛɾahə,jatʃipɛɾahə,j a tʃ i p ɛ ɾ a h ə,,granadillo_ethnographic_2006;silva_discoteca_1961,,
177,,hohoodene,big,makadaɽi,makadaɽi,m a k a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
178,,moliwene,big,makadaɽi,makadaɽi,m a k a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
179,,mauliene,big,makádaɽi,makádaɽi,m a k a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
180,,kumadene2,big,makadaɽi,makadaɽi,m a k a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
181,,kowaidakenai,big,mahmiɽi,mahmiɽi,m a mʰ i ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
182,,dzawinai,big,hanipa,hanipa,h a n i p a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
183,,tariana,big,hanʊ̃ĩtɛ,hanʊ̃ĩtɛ,h a n ʊ̃ ĩ t ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
184,,aha,big,makadali,makadali,m a k a d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
185,,ehe,big,maniri,maniri,m a n i ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
186,,oho,big,makadale,makadale,m a k a d a l e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
187,,name,big,makadali,makadali,m a k a d a l i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
188,,werekena,big,tsuteɾi,tsuteɾi,ts u t e ɾ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
189,,waliperi,bird,kepiʐeːni,kepiʐeːni,k e p i ʐ eː n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
190,,hohoodene,bird,kepiʐeni,kepiʐeni,k e p i ʐ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
191,,moliwene,bird,kepiʐeni,kepiʐeni,k e p i ʐ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
192,,mauliene,bird,kepiʐeni,kepiʐeni,k e p i ʐ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
193,,kumadene2,bird,kuiphiaʐu,kuiphiaʐu,k u i pʰ i a ʐ u,,granadillo_ethnographic_2006;silva_discoteca_1961,,
194,,kumadene1,bird,keːpiʐɐ,keːpiʐɐ,k eː p i ʐ ɐ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
195,,kowaidakenai,bird,tike,tike,t i k e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
196,,dzawinai,bird,kepiʐeni,kepiʐeni,k e p i ʐ e n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
197,,tariana,bird,kepiɾiahʲa,kepiɾiahʲa,k e p i ɾ i a hʲ a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
198,,aha,bird,wiphiaro,wiphiaro,w i pʰ i a ɾ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
199,,ehe,bird,tsiːka,tsiːka,ts iː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
200,,oho,bird,jaːrakape,jaːrakape,j aː ɾ a k a p e,,granadillo_ethnographic_2006;silva_discoteca_1961,,
201,,name,bird,wiːpiaro,wiːpiaro,w iː p i a ɾ o,,granadillo_ethnographic_2006;silva_discoteca_1961,,
202,,werekena,bird,amutʃitihɐ̃,amutʃitihɐ̃,a m u tʃ i t i h ɐ̃,,granadillo_ethnographic_2006;silva_discoteca_1961,,
203,,hohoodene,bite,pihuɐ̃nⁱ,pihuɐ̃nⁱ,p i h u ɐ̃ nⁱ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
204,,moliwene,bite,tipatekani,tipatekani,t i p a t e k a n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
205,,mauliene,bite,nuhuaka,nuhuaka,n u h u a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
206,,kumadene2,bite,ɽiuhaːka,ɽiuhaːka,ɽ i u h aː k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
207,,kowaidakenai,bite,nuhũaka,nuhũaka,n u h ũ a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
208,,dzawinai,bite,nuhũaka,nuhũaka,n u h ũ a k a,,granadillo_ethnographic_2006;silva_discoteca_1961,,
209,,tariana,bite,nãhmõnĩpɛ,nãhmõnĩpɛ,n ã mʰ õ n ĩ p ɛ,,granadillo_ethnographic_2006;silva_discoteca_1961,,
210,,aha,bite,ihmoaketi,ihmoaketi,i mʰ o a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
211,,ehe,bite,inʰuakheti,inʰuakheti,i nʰ u a kʰ e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
212,,oho,bite,inʰuaketi,inʰuaketi,i nʰ u a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
213,,name,bite,ijmoaketi,ijmoaketi,i j m o a k e t i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
214,,werekena,bite,numutʃitɐni,numutʃitɐni,n u m u tʃ i t ɐ n i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
215,,waliperi,black,ipadaɽi,ipadaɽi,i p a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
216,,hohoodene,black,iːtadaɽi,iːtadaɽi,iː t a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
217,,moliwene,black,iʈadaɽi,iʈadaɽi,i t a d a ɽ i,,granadillo_ethnographic_2006;silva_discoteca_1961,,
